source,target,date,weight
2484,3147,2001-01-01,1.0
2525,44,2001-01-01,1.0
2546,4330,2001-01-01,1.0
2596,148,2001-01-01,1.0
2084,4744,2001-01-01,1.0
2609,4282,2001-01-01,1.0
2757,1740,2001-01-01,1.0
2308,2026,2001-01-01,1.0
2421,4259,2001-01-01,1.0
2299,956,2001-01-01,1.0
2182,5108,2001-01-01,1.0
2182,2047,2001-01-01,1.0
2163,1804,2001-01-01,1.0
2721,584,2001-01-01,1.0
2905,4091,2001-01-01,1.0
0,4012,2001-01-01,1.0
2988,1154,2001-01-01,1.0
4061,2269,2001-01-01,1.0
4173,4263,2001-01-01,1.0
4202,4831,2001-01-01,1.0
4259,4056,2001-01-01,1.0
4282,1265,2001-01-01,1.0
4304,3956,2001-01-01,1.0
4330,10,2001-01-01,1.0
4371,4732,2001-01-01,1.0
4409,492,2001-01-01,1.0
4487,4968,2001-01-01,1.0
4507,39,2001-01-01,1.0
4570,2905,2001-01-01,1.0
4021,4265,2001-01-01,1.0
4571,0,2001-01-01,1.0
4737,1987,2001-01-01,1.0
4743,0,2001-01-01,1.0
4744,2698,2001-01-01,1.0
4771,216,2001-01-01,1.0
4790,1556,2001-01-01,1.0
4822,15,2001-01-01,1.0
4849,2299,2001-01-01,1.0
4899,952,2001-01-01,1.0
4910,49,2001-01-01,1.0
4924,4202,2001-01-01,1.0
4950,2056,2001-01-01,1.0
4971,3672,2001-01-01,1.0
4593,396,2001-01-01,1.0
4020,23,2001-01-01,1.0
4012,41,2001-01-01,1.0
4005,44,2001-01-01,1.0
3034,55,2001-01-01,1.0
3045,10,2001-01-01,1.0
3053,5059,2001-01-01,1.0
3060,216,2001-01-01,1.0
3147,287,2001-01-01,1.0
3158,15,2001-01-01,1.0
3169,3060,2001-01-01,1.0
3206,3579,2001-01-01,1.0
1916,4775,2001-01-01,1.0
0,15,2001-01-01,3.0
3241,4950,2001-01-01,1.0
3309,3733,2001-01-01,1.0
3328,2620,2001-01-01,1.0
3394,3328,2001-01-01,1.0
3446,562,2001-01-01,1.0
3457,3394,2001-01-01,1.0
3492,4061,2001-01-01,1.0
3579,4173,2001-01-01,1.0
3659,2016,2001-01-01,1.0
3672,421,2001-01-01,1.0
3685,2056,2001-01-01,1.0
3733,2992,2001-01-01,1.0
3783,2885,2001-01-01,1.0
3826,4507,2001-01-01,1.0
3845,1128,2001-01-01,1.0
3864,1579,2001-01-01,1.0
3885,2476,2001-01-01,1.0
2962,15,2001-01-01,1.0
1887,834,2001-01-01,1.0
744,666,2001-01-01,1.0
1804,3474,2001-01-01,1.0
15,191,2001-01-01,1.0
15,2182,2001-01-01,1.0
15,4371,2001-01-01,1.0
15,4703,2001-01-01,1.0
15,4771,2001-01-01,1.0
20,2421,2001-01-01,1.0
20,3158,2001-01-01,1.0
23,3822,2001-01-01,1.0
41,3604,2001-01-01,1.0
41,4924,2001-01-01,1.0
44,1254,2001-01-01,1.0
44,1755,2001-01-01,1.0
0,275,2001-01-01,1.0
44,2725,2001-01-01,1.0
49,2636,2001-01-01,1.0
50,2962,2001-01-01,1.0
52,248,2001-01-01,1.0
52,4200,2001-01-01,1.0
52,4686,2001-01-01,1.0
53,4570,2001-01-01,1.0
55,2132,2001-01-01,1.0
106,1526,2001-01-01,1.0
137,392,2001-01-01,1.0
0,812,2001-01-01,1.0
137,2099,2001-01-01,1.0
0,1030,2001-01-01,1.0
0,1530,2001-01-01,1.0
0,3446,2001-01-01,1.0
0,4971,2001-01-01,1.0
0,3309,2001-01-01,1.0
0,2988,2001-01-01,1.0
0,2525,2001-01-01,1.0
7,311,2001-01-01,1.0
0,2084,2001-01-01,1.0
7,2333,2001-01-01,1.0
0,1985,2001-01-01,1.0
7,2455,2001-01-01,1.0
7,4571,2001-01-01,1.0
0,1976,2001-01-01,2.0
0,1937,2001-01-01,1.0
10,892,2001-01-01,1.0
10,1208,2001-01-01,1.0
10,1400,2001-01-01,1.0
10,1976,2001-01-01,1.0
10,3045,2001-01-01,1.0
10,3826,2001-01-01,1.0
10,4728,2001-01-01,1.0
0,1603,2001-01-01,1.0
0,1575,2001-01-01,1.0
12,709,2001-01-01,1.0
0,1369,2001-01-01,1.0
148,3070,2001-01-01,1.0
5030,18,2001-01-01,1.0
238,925,2001-01-01,1.0
900,3492,2001-01-01,1.0
925,2098,2001-01-01,1.0
947,1811,2001-01-01,1.0
952,7,2001-01-01,1.0
956,1014,2001-01-01,1.0
986,4743,2001-01-01,1.0
1001,412,2001-01-01,1.0
1114,5030,2001-01-01,1.0
1128,93,2001-01-01,1.0
1154,4866,2001-01-01,1.0
1237,4593,2001-01-01,1.0
1251,642,2001-01-01,1.0
1315,588,2001-01-01,1.0
1368,137,2001-01-01,1.0
1369,3053,2001-01-01,1.0
1400,52,2001-01-01,1.0
1505,52,2001-01-01,1.0
1526,4837,2001-01-01,1.0
